tlw,blw,h,s
3.085,4.078,0.525,3.285
2.534,3.934,0.324,3.539
2.374,3.954,0.25,2.418
2.327,3.272,0.411,2.351
1.853,3.498,0.496,4.049
3.165,4.801,0.54,4.406
1.745,3.372,0.244,3.038
2.414,3.637,0.633,4.762
2.635,3.581,0.576,3.372
2.549,3.663,0.357,3.941
3.178,3.385,0.603,2.478
2.918,4.203,0.44,2.883
1.828,3.431,0.209,4.786
2.939,3.88,0.563,3.851
2.788,3.574,0.331,2.194
3.125,3.788,0.287,3.349
3.213,3.321,0.509,3.562
2.695,4.302,0.201,3.006
2.734,4.349,0.596,4.192
3.053,3.298,0.548,3.029
2.859,4.116,0.389,3.587
2.593,4.326,0.472,3.236
2.215,3.46,0.359,2.798
2.002,3.607,0.382,2.74
2.839,4.516,0.571,4.808
3.008,3.726,0.498,2.931
2.766,3.322,0.251,4.274
2.953,3.662,0.296,3.893
2.257,3.813,0.435,2.67
2.962,4.566,0.366,4.53
2.788,3.456,0.482,3.963
2.618,3.842,0.233,3.397
3.155,3.612,0.464,4.934
3.066,4.079,0.627,3.802
3.248,4.239,0.534,4.241
2.7,3.91,0.259,2.958
2.441,3.752,0.333,4.826
2.158,3.346,0.182,4.43
1.832,3.294,0.564,3.457
3.008,4.674,0.52,2.373
2.313,4.051,0.582,2.763
2.801,4.448,0.278,4.061
3.118,3.979,0.323,2.176
2.608,3.476,0.552,3.528
3.186,3.998,0.478,4.648
3.098,3.546,0.255,2.278
2.826,4.142,0.408,2.492
2.408,3.411,0.415,2.052
2.878,4.19,0.241,4.992
2.654,3.751,0.56,2.208
2.178,3.907,0.515,4.078
2.488,3.492,0.594,3.677
2.048,3.546,0.271,2.705
3.15,4.605,0.345,3.121
1.723,3.426,0.523,4.373
2.399,3.845,0.371,3.422
3.168,4.72,0.422,3.777
2.555,3.387,0.308,4.718
2.753,3.793,0.645,2.648
2.973,3.255,0.401,4.182
3.021,4.389,0.208,4.551
2.46,4.104,0.357,2.563
1.907,3.392,0.278,2.168
3.161,4.03,0.63,3.478
2.566,3.422,0.386,4.853
3.235,3.853,0.222,3.698
3.146,3.487,0.445,3.203
2.875,4.084,0.545,3.042
2.368,3.359,0.286,3.376
3.026,4.137,0.459,3.668
2.606,3.694,0.394,3.132
2.22,3.855,0.2,4.253
2.439,3.538,0.344,4.977
2.007,3.6,0.43,2.904
3.101,4.459,0.593,2.547
2.351,4.003,0.567,2.097
3.114,4.666,0.293,4.704
2.793,3.74,0.309,2.825
2.933,3.306,0.537,4.381
2.973,4.243,0.493,3.976
3.004,3.354,0.39,2.456
2.711,4.063,0.549,4.888
2.256,3.513,0.579,2.622
2.425,4.071,0.42,3.318
1.953,3.448,0.57,2.916
2.967,3.673,0.218,2.731
2.807,3.373,0.449,4.098
2.905,3.809,0.642,4.444
2.306,3.654,0.267,2.846
3.015,4.618,0.586,3.954
2.836,3.602,0.234,4.515
2.577,3.893,0.483,2.072
3.197,3.558,0.236,3.632
3.115,4.223,0.311,4.728
3.101,4.291,0.403,4.416
2.749,3.967,0.457,2.385
2.402,3.806,0.62,3.503
2.206,3.302,0.519,4.232
3.22,4.127,0.186,2.337
2.58,3.889,0.611,4.839
2.425,4.004,0.447,2.969
2.372,3.329,0.54,3.276
1.801,3.45,0.217,4.622
3.21,4.641,0.41,4.207
2.46,3.783,0.317,3.812
2.679,3.423,0.358,2.047
2.602,3.711,0.577,4.493
3.124,3.335,0.346,3.053
2.964,4.045,0.272,2.683
2.991,3.83,0.373,4.777
2.735,3.622,0.618,3.144
3.08,3.629,0.425,2.024
3.167,3.277,0.202,4.863
2.831,4.252,0.51,2.433
2.69,4.306,0.339,4.368
2.043,3.768,0.234,3.253
2.184,3.28,0.481,4.713
1.739,3.314,0.406,3.242
2.134,3.879,0.498,4.565
3.184,4.461,0.298,2.611
2.728,3.417,0.414,2.802
2.772,3.967,0.284,3.744
3.002,3.486,0.528,2.3
3.2,4.419,0.572,3.432
2.909,4.382,0.598,3.087
2.816,3.768,0.192,4.088
2.198,3.65,0.384,2.221
2.232,3.512,0.246,2.522
2.076,3.398,0.628,3.872
2.931,3.563,0.614,4.112
2.544,4.2,0.336,3.178
2.642,4.159,0.521,3.622
2.021,3.72,0.535,2.499
2.436,3.536,0.307,3.968
2.108,3.265,0.313,4.588
3.137,3.778,0.428,4.022
2.636,3.268,0.198,2.397
3.031,4.028,0.362,2.779
3.036,3.472,0.291,3.626
2.632,4.085,0.421,3.055
2.563,4.068,0.369,4.121
2.106,3.822,0.206,2.236
2.341,3.442,0.45,3.798
3.241,4.922,0.643,4.94
2.031,3.362,0.458,4.652
3.233,3.694,0.343,3.711
2.54,3.353,0.588,2.368
2.924,3.92,0.514,3.464
2.24,3.968,0.406,4.676
3.094,4.546,0.443,2.125
2.806,3.313,0.327,3.441
2.872,3.874,0.606,3.995
2.901,3.58,0.377,2.459
3.095,4.316,0.184,2.805
2.993,4.27,0.277,3.152
2.729,3.672,0.58,3.649
2.299,3.733,0.476,2.52
2.129,3.623,0.629,2.212
1.974,3.312,0.247,3.889
2.99,4.532,0.321,4.281
1.889,3.484,0.403,3.9
2.888,3.946,0.518,4.467
2.838,3.507,0.287,3.114
3.157,3.736,0.332,2.71
3.081,3.376,0.584,4.376
2.744,4.337,0.365,2.31
2.796,4.405,0.432,4.865
1.938,3.654,0.626,2.989
2.289,3.392,0.394,4.544
3.175,4.883,0.231,4.186
3.128,4.221,0.57,2.401
2.684,3.983,0.279,4.4
2.328,3.887,0.294,3.267
1.899,3.565,0.54,4.64
3.133,4.754,0.495,3.533
1.596,3.326,0.317,2.27
2.382,3.682,0.469,3.924
3.029,4.7,0.387,2.877
2.573,3.535,0.502,2.686
2.503,3.825,0.194,4.745
3.05,4.157,0.603,2.056
2.196,3.761,0.597,3.391
2.912,4.531,0.203,3.785
2.756,3.509,0.556,4.72
2.67,3.985,0.396,2.664
3.104,3.469,0.628,4.13
3.215,4.13,0.464,4.512
3.199,4.401,0.49,4.82
2.831,3.854,0.304,2.355
2.493,3.718,0.289,4.235
2.307,3.401,0.375,3.511
1.78,3.329,0.519,2.608
2.816,4.183,0.226,4.354
2.625,4.277,0.634,2.446
2.104,3.849,0.442,3.581
2.169,3.603,0.196,2.136
2.034,3.56,0.19,3.321
3.052,3.761,0.542,2.011
2.721,3.287,0.296,3.658
3.014,3.708,0.252,4.79
2.924,4.047,0.316,4.073
2.505,3.797,0.485,3.103
2.356,3.446,0.43,4.256
2.091,3.479,0.345,3.355
3.182,4.555,0.271,2.19
2.431,3.894,0.178,2.642
3.21,4.787,0.616,4.534
2.617,3.337,0.262,3.973
2.711,3.631,0.452,3.416
3.016,3.416,0.208,4.88
2.889,4.341,0.401,3.759
1.798,3.288,0.601,2.572
3.07,3.912,0.248,2.757
2.656,3.542,0.478,4.414
3.154,3.943,0.552,4.044
3.23,3.597,0.3,3.033
2.764,4.195,0.215,3.2
1.908,3.647,0.379,4.327
